Number;Storage;Name;Est.;Country;Type;ABV;Vol;Date
632;Blue;Capra noastră;;RO;tripel;7.5;330;07/04/2021
654;Blue;Capra noastră;;RO;saison;6;330;13/06/2021
638;Blue;Capra noastră;;RO;IPA;6.2;330;17/04/2021
605;Blue;Hab;;RO;lager;5;330;08/01/2021
628;Blue;Solca;1810;RO;blonde;4.8;500;30/03/2021
629;Blue;Suceava;1974;RO;blonde;4.4;500;31/03/2021
635;Blue;Scorilo;;RO;blonde;5;500;10/04/2021
649;Blue;La Llorona;;RO;amber ale;6.3;330;14/05/2021
648;Blue;Deranj;;RO;wheat;5;500;07/05/2021
651;Blue;Deranj IPA;;RO;IPA;5.8;500;24/05/2021
590;Blue;Meșterul Manole Bock;;RO;Bock;6.3;500;22/12/2020
592;Blue;Meșterul Manole Buchetul Anei;;RO;lager;4.5;330;24/12/2020
1020;Blue;Meșterul Manole Blondă;;RO;blonde;6.3;500;29/12/2022
1022;Blue;Meșterul Manole Viguros;;RO;blonde;5.3;500;29/12/2022
652;Blue;Mustață;;RO;IPA;5.5;330;01/06/2021
760;Blue;Red Revolution;;RO;amber;5;330;31/12/2021
1008;Blue;Olovina Pale Ale;;RO;pale ale;5.5;330;16/12/2022
1009;Blue;Olovina Pils;;RO;pilsner;4.8;330;16/12/2022
;Blue;Azuga;1870;RO;blone unpasteurised;5.5;500;09/07/2018
1016;Blue;Azuga Nefiltrată Weißbier;1870;RO;weißbier;5.3;500;25/12/2022
1030;Blue;Azuga Märzen;1870;RO;blone unpasteurised;5.5;500;04/01/2023
374;Blue;1717;;RO;red ale;5.4;330;12/09/2019
1026;Blue;Urban Helles;;RO;helles;5;330;29/12/2022
1028;Blue;Urban Märzen;;RO;märzen;5.5;330;31/12/2022
589;Blue;Plan Beer Golden Shower;;RO;blonde;4.5;330;22/12/2020
595;Blue;Plan Beer Fear of the Duck;;RO;IPA;6;330;28/12/2020
754;Blue;Plan Beer Golden Shower;;RO;blonde;4.5;330;19/12/2021
755;Blue;Plan Beer Fear of the Duck;;RO;IPA;6;330;19/12/2021
1018;Blue;Plan Beer For Those About to Plan;;RO;red ale;5;330;28/12/2022
1019;Blue;Plan Beer Malt Me Up;;RO;EPIA;5.8;330;28/12/2022
1011;Blue;Grivița Abduction;;RO;APA;4.8;500;21/12/2022
1012;Blue;Grivița Hazy IPA;;RO;HIPA;5.2;500;21/12/2022
1013;Blue;Grivița Gold;;RO;pilsner;4.6;500;21/12/2022
1029;Blue;Albacher;;RO;pilsner;4.8;660;31/12/2022
1021;Blue;Clusa 1913;;RO;red lager;5.5;330;29/12/2022
1023;Blue;Clusa 1919;;RO;helles;5.4;330;29/12/2022
1024;Blue;Clusa 1989;;RO;IPA;6;330;29/12/2022
597;Blue;Hora Unirii;;RO;beer;5;500;30/12/2020
1091;Blue;Dacic zmeură;;RO;cider;4.5;330;26/02/2023
1124;Blue;Dacic berry;;RO;cider;4.5;330;30/03/2023
1265;Blue;Dacic căpșuni și frăguțe;;RO;cider;4.5;330;06/09/2023
1186;Blue;"Don't feed the cat ;)";;RO;HNEIPA;5.5;500;30/06/2023
;Blue;Tungri dublu fermentată nefiltrată;;BE;"double; unfiltered";7;330;20/08/2017
203;Blue;Tungri blondă nefiltrată;;BE;blonde unfiltered;7.5;330;23/07/2018
1253;Blue;Ravu;;RO;IPA;6.1;330;30/08/2023
1255;Blue;Antica;;RO;WIPA;5.5;330;30/08/2023
1254;Blue;Hop Hooligans Never Too Latte;;RO;tiramisu imperial stout;12;330;30/08/2023
1256;Blue;Hop Hooligans Sencha;;RO;tea pale ale;5;500;30/08/2023
1258;Blue;Hop Hooligans Healthy Habits;;RO;summer ale;5;500;31/08/2023
1259;Blue;Hop Hooligans Crowd Control;;RO;NEIPA;6;500;31/08/2023
1360;Blue;Carnaval;;RO;IPA;6.5;500;21/12/2023
;Big brown;KingGoblin;;UK;beer;6.6;500;11/03/2014
;Big brown;Hobgoblin;;UK;ruby beer;5.2;500;
;Big brown;Imperial Red;;UK;ruby ale;4.7;500;
;Big brown;Pumpking;;UK;pumpkin;3.8;500;24/10/2014
;Big brown;Dr. Thirsty’s;;UK;blonde;4.1;500;
431;Big brown;Ginger Beard;;UK;ginger beer;4.2;500;27/12/2019
;Big brown;Dunkel Fester;;UK;dark;4.4;500;18/10/2016
;Big brown;Piledriver;;UK;ale;4.3;500;
;Big brown;Wychcraft;;UK;blonde;4.5;500;24/03/2015
279;Big brown;Hobgoblin;;UK;IPA;5.3;500;13/02/2019
;Big brown;Goliath;;UK;best bitter;4.2;500;25/11/2015
567;Big brown;Goliath;;UK;best bitter;4.2;500;25/11/2020
395;Big brown;Hobgoblin;;UK;ruby beer;5.2;500;18/10/2019
412;Big brown;KingGoblin;;UK;beer;6.6;500;05/12/2019
569;Big brown;Shy Giant;;UK;amber beer;4.7;500;28/11/2020
571;Big brown;Diceman;;UK;stout;5;500;01/12/2020
;Big brown;Wells Bombardier;1876;UK;reserve;6;500;16/03/2015
;Big brown;Wells Bombardier;1876;UK;;4.7;500;14/03/2014
224;Big brown;Bombardier;;UK;amber;4.7;500;31/08/2018
226;Big brown;Lancaster Bomber;;UK;amber ale;4.4;500;03/09/2018
;Big brown;Old Speckled Hen;1711;UK;ale;5;500;
;Big brown;Old Golden Hen;1711;UK;beer;4.1;500;
;Big brown;Old Crafty Hen;1711;UK;vintage ale;6.5;500;
;Big brown;Manns;1902;UK;brown ale;2.8;500;06/03/2014
398;Big brown;Isle of Arran;;UK;blonde;5;500;19/10/2019
;Big brown;Cobra;;UK;beer;4.8;660;
382;Big brown;Cobra;;UK;beer;4.5;620;29/09/2019
;Big brown;County Carlow;1740;UK;Irish stout;4.5;500;
;Big brown;Titanic;;UK;stout;4.5;500;
;Big brown;Mud City;;UK;stout;6.6;500;
1363;Big brown;Belhaven Black;;UK;stout;4.2;500;23/12/2023
;Big brown;London Pride;;UK;ale;4.7;500;
;Big brown;London Pride;;UK;ale;4.7;500;
;Big brown;Pedigree;;UK;pale ale;4.5;500;20/03/2014
;Big brown;Pedigree;1854;UK;"limited ed.; pale ale";4.5;500;
;Big brown;Owd Roger;;UK;country ale;7.4;500;28/02/2014
;Big brown;Landlord;1858;UK;classic pale ale;4.1;500;
278;Big brown;Landlord;1858;UK;classic pale ale;4.1;500;12/02/2019
;Big brown;Kentish Ale;;UK;ale;4.5;500;01/03/2014
450;Big brown;Sharp's Coconut Stout;1994;UK;stout;5.2;330;21/01/2020
;Big brown;Old Empire;;UK;IPA;5.7;500;22/03/2014
