Number,Storage,Name,Est.,Country,Type,ABV,Date,Memory,,git repo,,
511,Big brown,Cliff Edge,1988,UK,IPA,4.7,04/07/2020,Pub reopening day in Battersea Park with Ed & Artur,,,,
512,Big brown,Northern Light,1988,UK,pale ale,4,11/07/2020,Chicken soup & enchiladas,,,,
513,Big brown,Orkney Gold,1988,UK,golden ale,4.5,11/07/2020,Pint in the park with the HEP gang,,,,
515,Big brown,Corncrake Ale,1988,UK,straw ale,4.1,16/07/2020,HEP gang barbecue,,,,
,Big brown,Combined Harvest,1874,UK,multigrain beer,4.7,,,,,,
516,Big brown,Jubel Alpine,2017,UK,peach beer,4,19/07/2020,Rewatch Regele Shaman,,,,
519,Big brown,Jubel Urban,2017,UK,elderflower beer,4,26/07/2020,Richmond Park hike,,,,
518,Big brown,Gypsy Hill Desert Haze,,UK,hazy pale ale,4,24/07/2020,Virtual ofices student seminar,,,,
521,Big brown,Gypsy Hill Ranger,,UK,pale ale,4.2,04/08/2020,First hosted barbecue,,,,
520,Big brown,Lost+Found Hold it Down,,UK,session IPA,4.2,31/07/2020,After a hard week's work,,,,
523,Big brown,Young's London Special,1831,UK,beer,6.4,11/08/2020,Kennington chill w/ Bade,,,,
361,Big brown,Road Crew,,UK,American pale ale,5,18/08/2019,At the beach with Hristo 1/2,,,,
532,Big brown,Lost and Grounded,,UK,Keller pilsner,4.8,06/09/2020,After cycling to the M25 w/ Sergey,,,,
533,Big brown,Curious Brew,,UK,lager,4.7,10/09/2020,LHCb virtual bbq 1/2,,,,
534,Big brown,Gold Top,,UK,golden pale ale,4.3,10/09/2020,LHCb virtual bbq 2/2,,,,
549,Big brown,Wimbledon,,UK,lager,4.8,12/10/2020,Bath time,,,,
557,Big brown,Wimbledon,,UK,pale ale,4.2,29/10/2020,Giuseppe Verdi pasta,,,,
496,Big brown,Buxton Brewery Jacob's Ladder,,UK,table beer,2.8,25/05/2020,Bank holiday cycling w/ Bade & Co.,,,,
719,Big brown,Buxton Brewery Ace Edge,,UK,IPA,6.8,18/09/2021,Neon Genesis Evangelion,,,,
,Big brown,Kingfisher,1857,UK,lager,5,14/02/2014,Studying LHC events using MINERVA,,,,
559,Big brown,Kingfisher,1857,UK,lager,5,03/11/2020,Farewell baklavas for Dominic,,,,
,Big brown,Newcastle,1927,UK,brown ale,4.7,,First beer year 1 [UG] term 2,,,,
440,Big brown,Newcastle,1927,UK,brown ale,4.7,06/01/2020,"LHCb UK Huddersfield, The Parish",,,,
659,Big brown,Hobsons Pass the Smile,,UK,amber,4.1,27/06/2021,Reuniting the collection in London,,,,
660,Big brown,Utopian,,UK,dunkel,5.4,29/06/2021,Done reorganising the collection,,,,
208,Big brown,Shepherd Neame,1698,UK,stout,5.2,29/07/2018,"Pulpă de miel după seară în Vamă (double pet, Perseide, satelit, apă ciorbă)",,,,
,Big brown,Bishop Finger,1958,UK,Kentish strong,5.4,16/03/2014,Chat with Laur & watching Dexter,,,,
258,Big brown,Shepherd Neame,1698,UK,Christmas ale,7,01/12/2018,La mulți ani România! (& Shameena),,,,
,Big brown,Master Brew,1698,UK,Kentish ale,4,,,,,,
661,Big brown,Wild Card,,UK,table beer,2.7,30/06/2021,Playing with flavio,,,,
664,Big brown,Moor,2007,UK,wheat,4.5,03/07/2021,In-between England goals during the quarter-final,,,,
667,Big brown,Obsessed with Bru-1,,UK,pale ale,4.5,13/07/2021,Shisha in the garden after CERN EP article submission to arXiv,,,,
552,Big brown,Wandle,,UK,best bitter,3.8,20/10/2020,Gearing towards RK RC meeting,,,,
675,Big brown,Thornbridge AM:PM,2005,UK,session IPA,4.5,12/08/2021,Before post-PhD holiday,,,,
718,Big brown,Thornbridge Jaipur,2005,UK,IPA,5.9,13/09/2021,After post-PhD holiday,,,,
673,Big brown,Whitstable Bay,,UK,ruby ale,4.5,09/08/2021,Puddlebiking,,,,
720,Big brown,Whitstable Bay,,UK,pale ale,3.9,19/09/2021,Bade's new place 1/2,,,,
721,Big brown,Shipyard,,UK,American IPA,5,19/09/2021,Bade's new place 2/2,,,,
725,Big brown,The Cranborne Poacher,,UK,ruby ale,5.7,05/10/2021,EPFL interview,,,,
726,Big brown,Bear Island,,UK,pale ale,4.8,12/10/2021,Hearthstone Mercenaries,,,,
728,Big brown,Velocirapture,,UK,DIPA,8.5,18/10/2021,Pre-viva relax,,,,
764,Big brown,Dark Star Hophead,,UK,golden ale,3.8,,,,,,
736,Big brown,Wild IPA,,UK,IPA,5.2,29/10/2021,Project Orange w/ Herța & Păcuraru 3/3,,,,
737,Big brown,Remedy,,UK,session IPA,4,30/10/2021,3-in-1 party,,,,
744,Big brown,Jungle Trip,,UK,NEPA,5.3,19/11/2021,Maple-glazed meatballs on men's day,,,,
741,Big brown,Fortnum's English Red Ale,,UK,red ale,4,13/11/2021,Shisha w/ Călin 1/3,,,,
742,Big brown,Fortnum's Christmas Ale,,UK,Christmas ale,5,13/11/2021,Shisha w/ Călin 2/3,,,,
743,Big brown,Fortnum's India Pale Ale,,UK,IPA,5,13/11/2021,Shisha w/ Călin 3/3,,,,
745,Big brown,Fortnum's Pilsner,,UK,pilsner,5,22/11/2021,Shisha w/ Tash after a day outside,,,,
738,Big brown,Proper Job,1851,UK,IPA,5.5,31/10/2021,Post-party recovery,,,,
747,Big brown,Mena Dhu,1851,UK,stout,4.5,27/11/2021,Steak & plantain dinner,,,,
748,Big brown,Tis the Saison,,UK,saison,5,30/11/2021,Maritime museum & Canary Wharf,,,,
749,Big brown,Battle of Britain,,UK,amber ale,5,02/12/2021,Kew gardens,,,,
751,Big brown,Monkman's Slaughter,,UK,bitter,6,,,,,,
562,Big brown,Siren Coldblooded,,UK,porter,5,08/11/2020,Death Note,,,,
733,Big brown,Siren Flying Lanterns,,UK,red IPA,5.8,26/10/2021,Birthday beers 3/3,,,,
765,Big brown,Siren Lumina,,UK,session IPA,4.2,19/01/2022,Abeceskribbl,,,,
766,Big brown,Welsh Cake,,UK,stout,4.8,25/01/2022,Done packing,,,,
798,Big brown,Samuel Smith Taddy Porter,,UK,porter,5,17/03/2022,RX unblinding,,,,
834,Big brown,Fierce hazy IPA,,UK,hazy IPA,5,03/05/2022,Cu familia în Londra,,,,
836,Big brown,Orbit Hakata,,UK,pale ale,4.9,06/05/2022,Reunion @ Hakata,,,,
837,Big brown,Grilla,,UK,hazy pale ale,5,06/05/2022,Chillin by the Thames,,,,
841,Big brown,Beavertown Heavy Gravity,,UK,hazy IPA,6.5,07/05/2022,Apocalypse Now 2/2,,,,
842,Big brown,Platinum Jubilee Ale,,UK,ale,5,08/05/2022,Green Park 1/2,,,,
844,Big brown,Portobello Star,,UK,amber ale,4.3,09/05/2022,The Hand and Shears,,,,
846,Big brown,The Kernel,,UK,pale ale,5.4,11/05/2022,Mr. & Mrs. Sas,,,,
230,Big brown,The Duke of Dank,2013,UK,red IPA,6.3,08/09/2018,,,,,
232,Big brown,End of Level Boss,,UK,double IPA,9.2,12/09/2018,Back to gradbar with the Imperial bunch,,,,
1038,Big brown,Strongbow red berries,,UK,cider,4.5,21/01/2023,Film night w/ Theo 1/2,,,,
233,Big brown,Northern Monk Double Peanut Butter & Jelly,,UK,exactly what it says,10,12/09/2018,Shameena's boyfriend's timetable,,,,
1033,Big brown,Northern Monk Jesus Christ he is massive,,UK,DDHIPA,7.2,16/01/2023,Drinks w/ Ludi 2/3,,,,
1070,Big brown,Northern Monk Festive Star,,UK,Christmas,5.2,09/02/2023,Habibna & Hopfen+Malz w/ Theo 2/4,,,,
,Green,Weihenstephaner,1040,DE,beer,5.4,,,,,,
937,Green,Weihenstephaner Dunkel,1040,DE,dunkel,5.3,13/10/2022,Gadjo Dilo,,,,
634,Green,Bayreuther,,DE,hell,4.9,10/04/2021,Grătar la Dan 2/3,,,,
642,Green,Altbayrisch,,DE,hell,4.9,30/04/2021,Grătar la Dan 2/3,,,,
,Green,König Ludwig Dunkel,,DE,Dunkel,5.1,,,,,,
,Green,König Ludwig Weißbier,,DE,weißbier,5.5,,,,,,
,Green,Holsten,1879,DE,beer,5,,,,,,
,Green,Holsten Weizen,1879,DE,weizen,5.4,,,,,,
,Green,Natu,,DE,blonde,,,,,,,
,Green,Schonbrunner,,DE,bier,5,30/03/2016,Acasă,,,,
,Green,Berliner Kindl Pils,1872,DE,pilsner,4.8,07/12/2014,Preparing for Sabaton concert,,,,
688,Green,Berliner Kindl Weisse,1872,DE,weißbier,3,27/08/2021,Catch-up with Felix,,,,
1085,Green,Berliner Kindl Bock,1872,DE,bock,7,18/02/2023,"Berlin day 2 w/ Theo, Alexa & Kristjan 2/3",,,,
1086,Green,Berliner Kindl Bock Dunkel,1872,DE,bock,7,18/02/2023,"Berlin day 2 w/ Theo, Alexa & Kristjan 3/3",,,,
,Green,Arcobräu,1567,DE,beer,,,,,,,
244,Green,Vollbier,,DE,Meister,4.9,04/10/2018,LHCb relaxed Friday (on Thursday) pt. 1,,,,
195,Green,Meistersud,1616,DE,Festbier,5.8,15/06/2018,Liviu’s crate #1,,,,
591,Green,Augsburger,1464,DE,Kellerbier,5.4,23/12/2020,Împodobirea bradului,,,,
245,Green,Paulaner Weißbier,1634,DE,weißbier,5.5,04/10/2018,LHCb relaxed Friday (on Thursday) pt. 2 - this time using the correct glass!,,,,
,Green,Paulaner Hefe-Weißbier,1634,DE,dunkel weißbier,5.3,01/04/2013,Vizitarea cunoștințelor,,,,
501,Green,Paulaner Salvator,1634,DE,Doppelbock,7.9,02/06/2020,Devs,,,,
550,Green,Paulaner Oktoberfest Bier,1634,DE,Festbier,6,14/10/2020,Beer run & Back to the Future II,,,,
685,Green,Paulaner Ur-Dunkel,1634,DE,Ur-Dunkel,4.9,24/08/2021,Bere și semințe în München 2/2,,,,
686,Green,Paulaner Münchner Hell,1634,DE,hell,5,26/08/2021,Steak after Neuschweinstein 1/2,,,,
,Green,Valentins,,DE,weißbier,5.3,,La Vadu cu Steven și Laur,,,,
,Green,Steinhauser,,DE,lager,4.7,01/06/2015,Al & Phil’s belated birthdays,,,,
,Green,Warsteiner,1753,DE,beer,4.8,,,,,,
1144,Green,Warsteiner Radler,1753,DE,radler,2.5,16/04/2023,Grătar de Paște @ Theo,,,,
,Green,Edelmeister,,DE,pilsner,4.5,,,,,,
,Green,Riedenburger,1866,DE,beer,4.7,,,,,,
,Green,Perlenbacher,,DE,pilsner,4.9,09/12/2014,Visiting Manchester,,,,
,Green,Perlenbacher,,DE,pilsner,4.9,,,,,,
,Green,Schwaben Brau,1878,DE,Christmas Beer,,,,,,,
,Green,Rheinbacher,,DE,pilsner,4.8,27/01/2016,Finished CERN internship application,,,,
183,Green,Kloster Scheyern Hell,1119,DE,abbey; hell,5.4,18/05/2018,Liviu visit,,,,
197,Green,Kloster Scheyern Dunkel,1119,DE,abbey; dunkel,5,16/06/2018,Liviu’s crate #2,,,,
184,Green,Aktien Zwick'l,1857,DE,kellerbier,5.3,20/05/2018,Liviu visit pt. 2,,,,
832,Green,Th. König Zwickl,1858,DE,kellerbier,5.3,30/04/2022,Shaworma în familie,,,,
196,Green,Andechs Doppelbock Dunkel,1455,DE,,7.1,16/06/2018,Pork leg and huge pretzel at the abbey,,,,
668,Green,Andechs Weissbier Dunkel,1455,DE,weißbier,5,17/07/2021,Around Brixton with Ed & Sergey,,,,
789,Green,Andechs Spezial Hell,1455,DE,hell,5.9,01/03/2022,Mărțișor,,,,
792,Green,Andechs Export Dunkel,1455,DE,lager,4.9,07/03/2022,Conectați,,,,
905,Green,Andechs Bergbock Hell,1455,DE,bock,7,10/09/2022,Catch-up cu ai mei,,,,
252,Green,Riegele,1386,DE,kellerbier,5,10/11/2018,Annecy 2/3,,,,
633,Green,Zoller-Hof,1845,DE,beer,5.5,10/04/2021,Grătar la Dan 1/3,,,,
641,Green,Maisel's Weisse,1887,DE,weißbier,5.2,30/04/2021,Grătar la Dan 1/3,,,,
315,Green,Beck's Amber Lager,,DE,amber; lager,5.7,27/04/2019,"Revedere cu Liviu, Andrei, Aidân, Vernic, Sez și Alexandra",,,,
317,Green,Beck's Pils,,DE,pils,6,01/05/2019,Vama Veche,,,,
368,Green,Beck's Red Ale,,DE,red ale,4.5,31/08/2019,Plimbare și pizza în Mamaia,,,,
,Green,Grafenwalder,,DE,pilsner,4.5,,Prima excursie în Vama Veche,,,,
355,Green,Heidelberger,1753,DE,pilsner,4.8,08/08/2019,LHCb Friday Relax 1/2,,,,
1032,Green,Clucking Hen,,DE,weißbier,4.7,16/01/2023,Drinks w/ Ludi 1/3,,,,
416,Green,Spezial Rauchbier,,DE,rauchbier,4.9,08/12/2019,Age of Mythology,,,,
417,Green,Maximator,,DE,beer,7.5,09/12/2019,Closed weekend at CERN deal; Silicon Valley finale,,,,
422,Green,Mönchshof Kellerbier,,DE,kellerbier,5.4,14/12/2019,120-people party 3/3,,,,
848,Green,Mönchshof Zwickl,,DE,zwickl,5.4,21/05/2022,The Batman,,,,
850,Green,Mönchshof Märzen,,DE,märzen,5.5,25/05/2022,Day of meetings,,,,
851,Green,Mönchshof Lager,,DE,lager,4.9,26/05/2022,The Sopranos,,,,
922,Green,Mönchshof Bockbier,,DE,bock,6.9,01/10/2022,Südstraßenfestival 2/3,,,,
543,Green,ABK Festbier,1308,DE,Festbier,6,01/10/2020,Kicking off October,,,,
544,Green,ABK Dunkel,1308,DE,Dunkel,5,03/10/2020,Roasted veg weekend 1/2,,,,
566,Green,ABK Edel,1308,DE,Edel,5.8,21/11/2020,Voting & cleaning,,,,
545,Green,Büro Pilsener,1308,DE,pilsner,4.9,04/10/2020,Roasted veg weekend 2/2,,,,
546,Green,Büro Schwarz,1308,DE,dark,4.9,05/10/2020,Saffron curry & CAH,,,,
547,Green,Büro Weizen,1308,DE,wheat beer,5.3,09/10/2020,HEP Discord induction,,,,
565,Green,Beer Garden by Night,,DE,dunkel weißbier,5.5,19/11/2020,Euro Truck Simulator stream,,,,
551,Green,Herzoglich Bayerisches Brauhaus Tegernsee,,DE,dunkel,5,16/10/2020,Outdoors catch-up with Tudor,,,,
554,Green,Herzoglich Bayerisches Brauhaus Tegernsee,,DE,pilsner,5,21/10/2020,Post-meeting Discord,,,,
921,Green,Spaten,,DE,hell,5.2,01/10/2022,Südstraßenfestival 1/3,,,,
917,Green,La Speziale,,DE,sour,5,21/09/2022,Hopfen+Malz w/ Ludivine 2/3,,,,
570,Green,Augustiner Edelstoff,1328,DE,beer,5.6,29/11/2020,Parents catch-up,,,,
562,Green,Augustinerbräu München,1328,DE,lager,5.2,01/12/2020,Imperial Days 2/2,,,,
575,Green,Früh,1904,DE,Kölsch,4.8,04/12/2020,Rakia Discord chat 2/2,,,,
,Green,Schofferhofer,,DE,hefe weizen,5,27/05/2015,"Cip: Buni ia LoL-ul
Eu: Cip știi ce-am avut azi?
Cip: Examen!
Eu: Știi ce am mâine?
Cip: Examen!
Eu: Știi ce am poimâine?
Cip: EXAMEN!
Also RIP L&A",,,,
293,Green,Erdinger Dunkel,1886,DE,Dunkel,5.3,12/03/2019,Web@30 at its birthplace,,,,
452,Green,Erdinger Weißbier,1886,DE,weißbier,5.6,25/01/2020,Scooter Cafe w/ Mădă & friends,,,,
599,Green,Erdinger Urweisse,1886,DE,weißbier,4.9,31/12/2020,Masa de Revelion,,,,
558,Green,Lemke Berlin Spree Coast,,DE,IPA,6.9,30/10/2020,Friday night podcast,,,,
,Green,Krombacher Pils,1803,DE,pilsner,4.8,,,,,,
,Green,Krombacher Dark,1803,DE,dark,4.3,01/07/2015,Primii clienți în noua Vamă,,,,
606,Green,Krombacher Weizen,1803,DE,weizen,5.3,14/01/2021,Relax după muncă,,,,
1133,Green,Krombacher Natur Radler,1803,DE,radler,2.5,09/04/2023,Grătar la Migu 1/3,,,,
576,Green,Ayinger Lager Hell,,DE,lager; hell,4.9,06/12/2020,Departure prep,,,,
682,Green,Ayinger Kellerbier,,DE,kellerbier,4.9,24/08/2021,Mustafa kebab 1/2,,,,
683,Green,Ayinger Jahrhundert Bier,,DE,Jahrhundert,5.5,24/08/2021,Mustafa kebab 2/2,,,,
1102,Green,Ayinger Altbeirisch Dunkel,,DE,dunkel,5,04/03/2023,München pre-drinks w/ Ursu 1/2,,,,
1103,Green,Ayinger Frühlingsbier,,DE,frühlingsbier,5.5,04/03/2023,München pre-drinks w/ Ursu 2/2,,,,
1110,Green,Ayinger Bräuweisse,,DE,weissber,5.1,13/03/2023,Puss in Boots marathon w/ Theo 1/2,,,,
684,Green,Hofbräuhaus,1589,DE,helles vollbier,5.1,24/08/2021,Bere și semințe în München 1/2,,,,
687,Green,Hofbräu,1589,DE,beer,5.1,26/08/2021,Steak after Neuschwanstein 2/2,,,,
758,Green,Craftwerk Hop Head,,DE,American IPA,8,31/12/2021,Octilion 1/3,,,,
759,Green,Craftwerk Mad Callista,,DE,session lager,3.9,31/12/2021,Octilion 2/3,,,,
1080,Green,Craftwerk Holy Cow,,DE,tripel,9,17/02/2023,Berlin day 1 w/ Theo & Alexa,,,,
1098,Green,Giesinger,,DE,beer,5.3,01/03/2023,Back in München w/ Ursu 1/3,,,,
771,Green,The Beast from the Sewer,,DE,beer,5.2,31/01/2022,Contract signing 2/2,,,,
777,Green,The Devil and the Maid,,DE,NEIPA,6.5,08/02/2022,Burgers w/ the Aachen lot,,,,
881,Green,The great Abul Abbas,,DE,pale ale,5.2,14/08/2022,Prin Aachen cu Coandă 1/2,,,,
889,Green,Bahkauv Pils,,DE,pilsner,4.9,31/08/2022,Pancakes,,,,
772,Green,Cornelius-Bräu Opulentus,,DE,ale,9.2,01/02/2022,First day as a postdoc,,,,
825,Green,Cornelius-Bräu Eligius,,DE,strong pale,7.5,16/04/2022,Hopf + Malz w/ Tase & Marta 2/2,,,,
1150,Green,Cornelius-Bräu Sanctus,,DE,strong pale,7.7,26/04/2023,Hopfen+Malz w/Theo & Ludi 2/5,,,,
776,Green,Charlemagne,,DE,duppelbock,8,07/02/2022,A very productive Monday,,,,
778,Green,Lennet,,DE,beer,5.2,09/02/2022,Conversation w/ Schael,,,,
791,Green,Schlüssel,1850,DE,alt,5,05/03/2022,Wingman w/ Sebastian & Fabian 2/2,,,,
802,Green,Chleudert den purschen zu poden,,DE,stout,7,18/03/2022,Wingman w/ youngsters 4/5,,,,
,Green,Weltenburger Kloster Hefe-Weißbier,1050,DE,abbey; wheat beer; hell,5.4,08/04/2017,New Hearthstone decks,,,,
198,Green,Weltenburger Kloster Urtyp,1050,DE,abbey; urtyp; hell,4.9,17/06/2018,Liviu’s crate #3,,,,
753,Green,Weltenburger Kloster Pils,1050,DE,abbey; pilsner,4.9,17/12/2021,Mici de la Kaufland cu Para,,,,
,Green,Edelweiss,,DE,weißbier,5.3,16/07/2014,,,,,
813,Green,Huber Weisses,,DE,weißbier,5.4,06/04/2022,Neckarzimmern,,,,
820,Green,Eifeler Landbier,,DE,landbier,5.1,13/04/2022,German course get-together 3/3,,,,
773,Green,Brauerei Mittenwald Hell,,DE,hell,4.7,05/02/2022,Trek to Horbach,,,,
971,Green,Mühlen,1858,DE,Kölsch,4.8,10/11/2022,Gedas & Elu farewell party 2/2,,,,
467,Green,Ureich,1679,DE,pilsner,4.9,20/02/2020,Fondue at the pit,,,,
627,Green,Apostel,,DE,weißbier; hell,5.3,27/03/2021,Liviu catch-up,,,,
631,Green,Herrnbräu,,DE,weißbier,5.4,05/04/2021,La Alexa cu Para și Deniz,,,,
852,Green,Bolten Ur-Alt,1266,DE,altbier,4.9,01/06/2022,Ziua copilului,,,,
864,Green,Eifelbräu Landbier,1817,DE,landbier,5,,,,,,
769,Green,Sester Kölsch,1805,DE,beer,4.8,27/01/2022,Aachen,,,,
770,Green,St. Olberg Kupfer Heimat,,DE,amber; lager,5.2,31/01/2022,Contract signing 1/2,,,,
882,Green,Braukollektiv Jamie's Irish red ale,,DE,red ale,4.6,14/08/2022,Prin Aachen cu Coandă 2/2,,,,
884,Green,Lieber Waldi Waldi Geröllheimer,,DE,session IPA,3.5,16/08/2022,Better Call Saul,,,,
907,Green,Lieber Waldi Maibock,,DE,maibock,6.5,10/09/2022,Catch-up cu Liviu,,,,
887,Green,Wildwunchs Bock Orange,,DE,doppelbock,7.9,22/08/2022,Back from Amsterdam,,,,
892,Green,Astra Rotlicht,1909,DE,amber,6,03/09/2022,Frittenwerk w/ Mădă 2/2,,,,
923,Green,Astra Urtyp,1909,DE,lager,4.9,01/10/2022,Südstraßenfestival 3/3,,,,
955,Green,Benediktiner Weissbier Dunkel,,DE,dunkel weißbier,5.4,29/10/2022,Birthday drinks w/ Ludi & Ewald 1/3,,,,
902,Green,Schönramer Pils,1780,DE,pilsner,5,07/09/2022,La Vasi 2/3,,,,
900,Green,Freitgeist Room 19,,DE,beetroot,4,06/09/2022,Hopfen+Malz w/ Ludivine 5/5,,,,
1155,Green,Freitgeist Room 1410,,DE,spiced pumpkin beer,6,01/05/2023,Grătar de 1 Mai cu românii,,,,
968,Green,Zötler Korbinian Dunkel,1447,DE,dunkel,5.1,09/11/2022,Elu & Martin outing 3/4,,,,
935,Green,Schwarzer Steiger,,DE,black,5,11/10/2022,Sophie's PhD celebration 3/3,,,,
555,Green,Aecht Schlenkerla Urbock,,DE,rauchbier,6.5,26/10/2020,Relaxed happy birthday,,,,
568,Green,Aecht Schlenkerla Märzen,,DE,rauchbier,5.1,28/11/2020,Saturday steak lunch & Southfields beer hunt,,,,
919,Green,Aecht Schlenkerla Weizen,,DE,rauchbier,5.2,22/09/2022,Ardei umpluți,,,,
945,Green,Aecht Schlenkerla Eiche,,DE,doppelbock,8,22/10/2022,Bulgarian dinner,,,,
926,Green,Pyraser Rotbier,,DE,amber,4.6,08/10/2022,Catch-up after Heidelberg,,,,
970,Green,Crew Republic Foundation 11,2011,DE,German pale ale,5.6,10/11/2022,Gedas & Elu farewell party 1/2,,,,
1037,Green,Crew Republic In Your Face,2011,DE,WCIPA,6.8,18/01/2023,Aposto w/ LHCb youngsters,,,,
894,Green,Ratsherrn Rotbier,,DE,amber,5.2,03/09/2022,Chillin w/ Mădă 2/2,,,,
950,Green,Ratsherrn Moby Wit,,DE,weißbier,5.1,26/10/2022,28th birthday w/ the lads 2/4,,,,
952,Green,Weiherer Keller-Pils,,DE,kellerbier,4.9,26/10/2022,28th birthday w/ the lads 4/4,,,,
969,Green,Weiherer Urstöffla,,DE,dunkel,5.2,09/11/2022,Elu & Martin outing 4/4,,,,
824,Green,Straßenbräu Ampelrot,,DE,red lager,5.5,16/04/2022,Hopf + Malz w/ Tase & Marta 1/2,,,,
904,Green,Straßenbräu Kaleidoskop,,DE,hazy IPA,6.7,08/09/2022,EIIR,,,,
967,Green,Straßenbräu Wunderbär,,DE,German IPA,6,09/11/2022,Elu & Martin outing 2/4,,,,
1108,Green,Straßenbräu Peanut Butter Jelly Time,,DE,imperial brown ale,11,11/03/2023,"Hotel Europa pre-drinks w/ Theo, Maria, Vasi & Dragoș 1/2",,,,
979,Green,Bitburger,,DE,pilsner,4.8,24/11/2022,Dr. Escher 1/5,,,,
980,Green,Sion,,DE,Kölsch,4.8,24/11/2022,Dr. Escher 2/5,,,,
981,Green,Köstritzer,,DE,schwarzbier,4.8,24/11/2022,Dr. Escher 3/5,,,,
982,Green,Th. König Zwickl,,DE,weißbier,5.4,24/11/2022,Dr. Escher 4/5,,,,
983,Green,Benediktiner Weissbier,,DE,zwickl,5.3,24/11/2022,Dr. Escher 5/5,,,,
984,Green,Weiherer Rauchbock,,DE,rauchbier,7,11/11/2022,Chilleanu cu Dragoș,,,,
991,Green,Sidekick 2,,DE,barrel aged; doppelbock,8.5,01/12/2022,Wingman w/ Ludi 1/3,,,,
995,Green,Lick here for 11 minutes of fame,,DE,IPA,6.7,03/12/2022,Weihnachtsmarkt w/ Theo 1/2,,,,
716,Green,Schneider Weisse Original,1872,DE,weißbier,5.4,11/09/2021,Metal bar in Zürich 1/2,,,,
1035,Green,Schneider Weisse Aventinus,1872,DE,bock,8.2,16/01/2023,Drinks w/ Theo & Maria 2/2,,,,
1069,Green,Odin-Trunk,,DE,honey beer,5.4,09/02/2023,Habibna & Hopfen+Malz w/ Theo 1/4,,,,
,Green,Radeberger,1872,DE,pilsner,4.8,,,,,,
194,Green,Rothaus Pils,,DE,pilsner,5.1,14/06/2018,LHCb BBQ,,,,
767,Green,Rothaus Eiszäpfle,,DE,beer,5.6,26/01/2022,Last night out in London 1/2,,,,
1099,Green,Max I. Joseph,1806,DE,beer,5.2,01/03/2023,Back in München w/ Ursu 2/3,,,,
1101,Green,Flötzinger,1543,DE,hell,5,02/03/2023,Gojira w/ Ursu,,,,
1081,Green,Lausitzer Porter,,DE,porter,4.4,17/02/2023,Berlin day 1 w/ Theo & Alexa 2/4,,,,
1082,Green,Lausitzer Kirsch Porter,,DE,porter,4.2,17/02/2023,Berlin day 1 w/ Theo & Alexa 3/4,,,,
1083,Green,Störtebeker Rogger-Weizen,,DE,red,5.4,17/02/2023,Berlin day 1 w/ Theo & Alexa 4/4,,,,
1084,Green,Störtebeker Schwarz-Bier,,DE,black,5,18/02/2023,"Berlin day 1 w/ Theo, Alexa & Kristjan 1/3",,,,
1087,Green,Berliner,,DE,pilsner,5,19/02/2023,Berlin best day w/ Theo 1/3,,,,
1088,Green,Falkenfelser,,DE,pilsner,4.9,19/02/2023,Berlin best day w/ Theo 2/3,,,,
1089,Green,Schultheiss,1842,DE,pilsner,5,19/02/2023,Berlin best day w/ Theo 3/3,,,,
1093,Green,Keaksack,,DE,beer,5.2,27/02/2023,Chicken & carrots,,,,
371,Green,Hacker Pschorr Münchner Gold,1417,DE,lager,5.5,07/09/2019,În parc ca boschetarii,,,,
689,Green,Hacker Pschorr Münchner Hell,1417,DE,hell,4.9,27/08/2021,Last night in Münich,,,,
1109,Green,Löwenbräu,,DE,beer,5.2,11/03/2023,"Hotel Europa pre-drinks w/ Theo, Maria, Vasi & Dragoș 2/2",,,,
1115,Green,Schlösser Alt,1873,DE,altbier,4.8,18/03/2023,Düsseldorf w/ Theo,,,,
,Green,Bitburger,1817,DE,beer,4.8,04/02/2014,First books for the book club,,,,
875,Green,Bitburger,1817,DE,beer,4.8,25/07/2022,Barbecue in Staadtpark 2/3,,,,
1113,Green,Bitburger Radler,1817,DE,radler,2.5,15/03/2023,Puss in Boots w/ Theo 2/3,,,,
1133,Green,Bitburger Radler Naturüb,1817,DE,radler,2.5,08/04/2023,Drinks @ Zack 1/3,,,,
1112,Green,Bitburger Maibock,1817,DE,maibock,6.7,15/03/2023,Puss in Boots w/ Theo 1/3,,,,
1114,Green,Duckstein,,DE,weizen,4.9,15/03/2023,Puss in Boots w/ Theo 3/3,,,,
1163,Green,Gatz,,DE,altbier,4.8,13/05/2023,Japantag w/ Theo,,,,
1126,Green,Dackel Hausbier Untergärig,,DE,beer,5.3,02/04/2023,Catch-up cu Liviu,,,,
1127,Green,Dackel Hausbier Obergärig,,DE,beer,5,06/04/2023,Vinland Saga w/ Theo,,,,
1128,Green,Dackel Pale Ale,,DE,pale ale,5.4,07/04/2023,Curry night w/ Theo,,,,
775,Green,Sudden Death Eat my Haze,,DE,NEIPA,7,06/02/2022,La Coandă 2/2,,,,
1154,Green,Sudden Death Savage,,DE,DDHDIPA,8.5,28/04/2023,Vineri seară,,,,
899,Green,Shades of Orange #3,,DE,saison,4.5,06/09/2022,Hopfen+Malz w/ Ludivine 4/5,,,,
1143,Green,Gurken Gose,,DE,gose,3.3,26/04/2023,Hopfen+Malz w/ Theo & Ludi 1/5,,,,
1152,Green,Brlo Baltic Porter,,DE,porter,7,26/04/2023,Hopfen+Malz w/ Theo & Ludi 4/5,,,,
1157,Green,Mahr's Bräu U,,DE,beer,5.2,05/05/2023,Ziua lu Migu 1/2,,,,
