Number,Storage,Name,Est.,Country,Type,ABV,Date,Memory,,git repo,,
436,Blue,Csiki Barna,,RO,beer,7,31/12/2019,Strikilion 2020 4/4,,,,
597,Blue,Hora Unirii,,RO,beer,5,30/12/2020,Pizza night,,,,
639,Blue,Neumarkt,,RO,pilsner,5.2,21/04/2021,Ploi de vară cu Para,,,,
601,Blue,Ciucaș,,RO,beer,4.6,01/01/2021,La mulți ani fericiți! Revelion la Niq cu Teuțu 2/3,,,,
586,Blue,Legenda lui Matei Corvin,,RO,lager,4.7,19/12/2020,Plimbare și lasagna,,,,
587,Blue,Paloșul lui Ștefan cel Mare,,RO,IPA,6.3,21/12/2020,Plimbare și cârnați,,,,
588,Blue,Enigma lui Negru Vodă,,RO,porter,6,22/12/2020,La Niq cu Herța și Teo 1/3,,,,
636,Blue,Țeapa lui Vlad,,RO,red ale,5.2,12/04/2021,La plimbare cu Geo,,,,
1015,Blue,Pana lui Viteazu',,RO,pilsner,4.8,24/12/2022,Îmbodobeste Deacu bradu,,,,
1027,Blue,Coșmarul lui Baiazid,,RO,wheat ale,4.5,31/12/2022,Revelion la Ganea 1/3,,,,
761,Blue,Wallachia Pale Ale,,RO,pale ale,5,08/01/2022,Somn la cuptor cu norișori de cartofi,,,,
762,Blue,Wallachia Pilsner,,RO,pilsner,5.3,10/01/2022,Mămăligă,,,,
596,Blue,Transylvania Amber Delight,,RO,amber,7.2,29/12/2020,Plimbare în Tăbăcăriei cu Gresie,,,,
602,Blue,Transylvania After Dark,,RO,dopplebock,7.2,01/01/2021,La mulți ani fericiți! Revelion la Niq cu Teuțu 3/3,,,,
598,Blue,Bucur,,RO,black,6.5,30/12/2020,The Queen's Gambit,,,,
604,Blue,Bucur,,RO,blonde,5,04/01/2021,În oraș cu Sorin,,,,
267,Blue,Zimbru,1845,RO,blonde,5,28/12/2018,M-am îmbătat cu Carlsberg la concert Cardinal,,,,
603,Blue,Zimbru,1845,RO,beer,5,02/01/2021,Pricomigdale,,,,
647,Blue,Oriel,2018,RO,saison,6.9,06/05/2021,Casa berarilor artizani beer hunt,,,,
650,Blue,Oriel,2018,RO,dubbel,8,14/05/2021,Drive & swim,,,,
630,Blue,Capra noastră,,RO,white,6.5,02/05/2021,Chill Friday night,,,,
637,Blue,Capra noastră,,RO,brown,6.5,15/04/2021,IoP social,,,,
632,Blue,Capra noastră,,RO,tripel,7.5,07/04/2021,g-2 result,,,,
654,Blue,Capra noastră,,RO,saison,6,13/06/2021,Bullseye de weekend la bingo Covid cu 69,,,,
638,Blue,Capra noastră,,RO,IPA,6.2,17/04/2021,Saturday chill,,,,
605,Blue,Hab,,RO,lager,5,08/01/2021,End of a long working week,,,,
628,Blue,Solca,1810,RO,blonde,4.8,30/03/2021,Hearthstone Barrens expansion,,,,
629,Blue,Suceava,1974,RO,blonde,4.4,31/03/2021,Un 99 cu tata,,,,
